"","id","reference","authors","consortium","title","journal","pubmed","remark"
"1",2001,"1  (bases 1 to 194)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 1 30-SEP-1987;	BAYER AG",NA,NA
"2",3001,"1  (bases 1 to 194)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 2 30-SEP-1987;	BAYER AG",NA,NA
"3",2284001,"1  (bases 1 to 378)","Sanchez,F.S., Susan,V.R., Carramolino-Fitera,L. and Ortega,A.P.A.",NA,"Fungal resistance markers","Patent: EP 0240250-A1 1 07-OCT-1987;	Antibioticos, S.A",NA,NA
"4",14406001,"1  (bases 1 to 45)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 20 30-SEP-1987;	BAYER AG",NA,NA
"5",14407001,"1  (bases 1 to 45)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 23 30-SEP-1987;	BAYER AG",NA,NA
"6",14408001,"1  (bases 1 to 45)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 26 30-SEP-1987;	BAYER AG",NA,NA
"7",14409001,"1  (bases 1 to 194)","Auerswald,E.A., Schroeder,W., Schnabel,E., Bruns,W., Reinhardt,G.	and Kotick,M.",NA,"Aprotinin homologues produced by genetic engineering","Patent: EP 0238993-A2 29 30-SEP-1987;	BAYER AG",NA,NA
"8",14410001,"1  (bases 1 to 1900)","Warne,S.",NA,"","Patent: GB 2220942-A 1 24-JAN-1990;	The Secretary of State of Trade and Industry",NA,NA
"9",14412001,"1  (bases 1 to 2368)","Brown,J.P., Plowman,G.D., Hellstrom,K.E., Purchio,A.F.,	Pennathur,S., Estin,C.D., Rose,T.M., Hellstrom,I. and Hu,S.L.",NA,"","Patent: GB 2188637-A 1 07-OCT-1987;	Oncogen",NA,NA
"10",14414001,"1  (bases 1 to 252)","Brown,J.P., Plowman,G.D., Hellstrom,K.E., Purchio,A.F.,	Pennathur,S., Estin,C.D., Rose,T.M., Hellstrom,I. and Hu,S.L.",NA,"","Patent: GB 2188637-A 3 07-OCT-1987;	Oncogen",NA,NA
